Industry,Gig_Worker_Percentage,Revenue_Growth,Cost_Savings,Employee_Turnover,Gig_Dependency_Level,Gig_Satisfaction_Score,Policy_Support_Level,Collaboration_Level,Impact_on_Company
Tech,26.82426931640579,5.475272629933027,10.53004726974703,13.381294608329897,4,5,3,5,1
Healthcare,90.12087358416125,13.087991334308002,16.72847944444633,14.325417211416058,5,1,3,1,1
Finance,28.330286319970234,5.2455274741491635,8.712427960635148,12.590221040586883,4,2,4,2,0
Logistics,60.462477220225374,9.378944391753796,15.913177934974588,9.045314247062372,3,2,1,1,0
Tech,11.79043670107931,4.894287547954118,11.587582789271671,15.866086828964571,1,2,2,1,0
Healthcare,65.83895591724372,10.704026796129755,14.42960888343419,12.004932831801922,5,3,2,5,1
Healthcare,51.451999828834325,8.480389804241538,13.755222559905734,7.15764368196473,5,2,1,4,1
Finance,70.87323325648647,10.78932782630634,15.914535661849627,8.311579210767842,1,4,1,2,0
Tech,7.633812541131713,3.3756755095718884,9.79382529261177,9.05294243802345,3,2,2,5,0
Healthcare,22.902591207337718,3.3529246994528603,10.355968578856213,15.026692287121886,5,4,4,1,1
Retail,59.555070123248576,9.54157932472882,14.191724290962169,16.64456316065391,5,2,1,2,1
Finance,50.25002450183943,6.099876639370624,15.30373934143789,11.638197019018431,5,2,2,1,0
Tech,72.65234719135164,11.115389663671527,15.614325064277566,12.09748654593782,5,2,5,3,1
Tech,43.77901207300745,4.968978234959031,11.133736987306651,7.3573509913022725,3,1,1,5,0
Healthcare,50.92290660354312,8.34856529267439,12.89488666726135,14.678716793015086,2,2,2,1,0
Healthcare,97.47369472575073,12.578195879247405,18.448142544069633,13.982748742085283,4,5,1,2,1
Healthcare,36.653905440895606,7.853457940287238,14.117700254432568,10.10618039580624,4,3,5,2,1
Healthcare,90.58449824286463,10.84217746149232,17.46463854646083,14.161713144929076,5,1,4,3,1
Retail,93.07393963624126,16.24050558692707,19.53800471414828,9.358374760197302,4,2,2,3,1
Healthcare,49.83515108518838,8.651129565024796,11.763235966128478,17.92897160808328,5,4,5,3,1
Logistics,35.504543712297895,8.37422698089559,9.388506093070234,18.216991668655627,2,1,4,2,0
Healthcare,25.21525920588158,3.2286875613416965,8.669136288150622,17.195079306490392,1,4,2,5,0
Tech,90.14436858492466,13.077762039294429,19.650077927605896,8.189870539496495,5,4,1,1,1
Healthcare,5.901266567304986,2.83523058053228,6.0003766528278355,11.583961567985451,4,3,1,3,0
Retail,13.217922576033525,1.569342599870288,5.843869222479602,12.511600129184899,5,5,2,4,1
Finance,84.13031495773076,12.445791541282658,16.02045863661083,11.205430058006822,5,2,3,4,1
Finance,72.56835538972271,9.57002731865224,18.134508212652886,12.874693369720914,1,1,3,3,0
Logistics,4.243972579174127,4.485922369293713,4.629905491722888,15.491053383622686,1,1,5,5,0
Healthcare,37.44760034663164,4.310129188886471,11.00915020133731,12.565423037257371,4,1,4,1,0
Tech,50.9006651643742,9.432142936633216,12.99274723838123,8.816339023809997,2,3,2,3,0
Logistics,38.669253800555566,8.019172033395312,12.70926531420924,6.144456685927817,3,4,3,3,0
Logistics,15.290544405022855,3.4564119159887667,8.654692076027459,21.05688295608022,3,2,5,5,1
Tech,42.443760400089346,4.351813223802483,13.172551726291012,14.306873060330922,4,1,3,1,0
Logistics,93.86213488143858,14.395870641267026,18.096150936010254,9.400688382703173,3,1,5,5,1
Retail,84.94115879493195,12.965358774066328,17.61244905859,12.3036329153585,2,3,3,2,1
Healthcare,38.965932915698154,7.934310579152408,9.558509781819275,19.02106433560763,1,4,2,3,0
Logistics,85.76112353255574,13.12836833132211,16.896369055478278,13.098832395527861,5,1,4,3,1
Finance,71.55696354730722,11.657552869208004,16.557614875558425,9.205496183284458,1,2,3,5,0
Healthcare,81.41788966373805,13.615586219493352,20.76945287430077,7.78474330832633,5,4,5,1,1
Logistics,87.8168771219741,14.709271171535612,17.132477783354478,16.901955670442955,4,1,5,3,1
Retail,30.009210919380426,4.3419156956822675,11.57632566605036,14.893380052452109,4,4,2,4,1
Retail,99.81301159238252,12.314557292259998,19.65696360256256,9.177973749516383,4,2,5,5,1
Tech,0.16524881419711646,3.441013968163648,8.142837903207031,9.392507559379606,4,1,4,5,1
Tech,44.58217820716792,9.15935975601328,13.279700104963137,13.154126540401487,5,4,4,2,1
Tech,34.93270359759112,5.729856166943642,8.6508793727178,14.18415154870616,1,3,2,2,0
Retail,52.15544524029898,7.58065678644251,12.462332703784375,13.989831939037664,4,5,5,3,1
Logistics,59.712437717754916,6.441482083762287,17.145692453923363,13.92160512669579,4,4,1,2,1
Retail,0.14503165911271543,5.165503680043619,5.74495318902494,4.102852893190866,4,4,3,2,0
Healthcare,31.70750313763564,3.645098312889783,10.864290781493745,10.172381438916902,3,5,2,5,1
Tech,14.679375943696293,3.8620207340165886,10.196967096390003,11.311805046713737,2,1,5,1,0
Retail,16.52378902104009,7.966983637574096,8.698706352579281,5.893491206615359,1,4,1,3,0
Logistics,64.66857273622017,9.878295484437718,14.143806579780374,8.0165463853319,2,2,3,1,0
Tech,47.152548545207985,7.555194908057512,12.769146827832317,10.721641646681022,3,5,2,2,0
Retail,20.412228455809768,7.039486722608063,9.351020605658015,11.902506204058922,3,4,4,3,1
Retail,16.123680843464562,5.097048427062952,9.8561355645437,6.894823420460495,2,2,3,5,0
Logistics,5.31495921729479,3.7662471859138473,10.859464894111259,12.048786447873452,1,3,2,2,0
Finance,21.4343984752984,5.434579349848756,9.547362258739291,12.408240493297955,4,2,4,4,1
Tech,73.26856913968012,14.560846210774045,19.434909309442283,14.813327598749128,2,4,4,5,1
Healthcare,10.11635412263967,6.31696649074695,10.120135097993291,15.480516769664384,4,4,4,3,1
Tech,43.113960211605985,4.821933842548566,13.691340109439906,4.346539351003204,5,3,4,5,1
