Worker_ID,Age,Gender,Education_Level,Gig_Platform,Monthly_Income,Hours_Per_Week,Job_Satisfaction,Mental_Health_Score,Workplace_Support,Job_Security,Career_Growth_Opportunities,Is_Primary_Income_Source,Impact_on_FTE
1,22,Female,High School,Freelancer,26815,30,3,3.1303304802788032,3,2,3,1,0
2,28,Male,Postgraduate,Swiggy,20715,49,2,2.3947580791987377,3,2,2,1,0
3,42,Female,Diploma,Swiggy,26418,50,3,3.2178324461747922,5,3,3,1,1
4,45,Female,Undergraduate,Freelancer,31281,40,3,2.544538395228725,2,2,3,0,0
5,22,Female,Postgraduate,Upwork,26222,24,3,1.7964351408506538,3,3,4,0,1
6,41,Female,Diploma,Upwork,27261,44,2,1.3829950003533678,3,2,2,1,0
7,23,Male,Undergraduate,Swiggy,33843,31,3,3.4416781271958916,2,2,1,1,0
8,49,Male,Undergraduate,Upwork,33482,51,3,2.51179623387044,3,3,4,1,1
9,48,Male,Postgraduate,Amazon Flex,37513,30,3,3.8529820632166993,4,4,3,1,1
10,39,Male,Postgraduate,Amazon Flex,24862,40,3,2.3447184403952765,3,3,3,0,0
11,39,Female,Undergraduate,Swiggy,24795,53,3,-0.168972231331598,2,4,3,0,0
12,30,Male,Undergraduate,Swiggy,30751,31,2,1.937384512896227,2,3,2,1,0
13,25,Other,High School,Amazon Flex,35725,41,3,1.2617504594419842,2,3,3,0,0
14,22,Male,Diploma,Uber,36145,40,3,3.770769509356423,4,4,4,1,1
15,44,Female,Undergraduate,Amazon Flex,23143,48,3,2.665589986869564,2,3,2,0,0
16,49,Male,Diploma,Amazon Flex,28433,30,2,1.256127428088202,2,2,2,1,0
17,44,Female,Undergraduate,Freelancer,28673,27,2,2.0660067769547847,2,3,3,0,0
18,26,Female,Postgraduate,Uber,26791,27,4,3.9585968782327403,3,3,3,1,1
19,25,Female,Postgraduate,Amazon Flex,40404,36,4,3.743518628974237,3,4,3,0,1
20,42,Male,Postgraduate,Upwork,35072,35,2,0.41947113223865373,2,3,2,0,0
21,25,Male,Diploma,Freelancer,39579,37,3,2.7131959515859037,3,3,2,1,0
22,33,Female,Diploma,Amazon Flex,22921,44,4,3.2360208830067174,3,3,3,1,1
23,22,Male,Undergraduate,Upwork,23508,42,3,5.268299797347077,3,4,4,1,1
24,45,Male,Postgraduate,Swiggy,28169,38,2,2.83953557083378,2,3,2,1,0
25,45,Male,Undergraduate,Uber,33507,43,3,3.630142233146354,3,3,3,0,1
26,36,Male,Diploma,Swiggy,22480,38,3,2.972544150751173,4,3,3,0,1
27,29,Male,Diploma,Swiggy,30275,31,3,3.7435878462994396,4,3,3,0,1
28,23,Male,Postgraduate,Upwork,34245,40,3,1.4926655347728293,2,3,3,1,0
29,43,Female,Undergraduate,Uber,35231,54,4,4.674581312027039,3,4,4,0,1
30,23,Female,Postgraduate,Uber,25232,23,3,2.5972410082016193,2,3,2,1,0
31,31,Female,Diploma,Amazon Flex,26852,52,2,3.1602794338742775,2,3,3,1,0
32,23,Female,Postgraduate,Upwork,30284,27,2,3.2011244648760675,2,3,2,1,0
33,47,Female,Postgraduate,Uber,34348,49,4,2.7161289382384215,4,4,3,0,1
34,41,Male,Undergraduate,Uber,39283,34,2,2.3209503188617013,3,2,2,1,0
35,42,Female,Diploma,Swiggy,29355,33,4,2.8758596636362923,4,3,3,0,1
36,28,Male,Postgraduate,Swiggy,35496,20,3,4.1702153313415184,4,4,3,0,1
37,35,Male,Postgraduate,Uber,36977,44,3,4.773975980741216,3,4,3,1,1
38,49,Female,High School,Upwork,36407,32,3,1.7826047017961832,3,3,2,1,0
39,38,Male,Postgraduate,Upwork,33709,54,3,3.2875910590338426,2,2,2,0,0
40,45,Male,Undergraduate,Uber,31584,22,2,2.6654928282376025,3,3,3,0,0
